value,params_backbone,params_batch_size,params_center_crop_key,params_coreset_sampling_ratio,params_image_size_key,params_layers_key,params_max_patches_per_image,params_num_neighbors,params_pre_trained,params_reduction,params_soft_corruption_level,params_soft_review_budget,params_soft_train_fraction
0.7856115107913669,resnet34,16,0.875,0.067,256,l3,1024,8,True,max,strong,0.455,0.78
0.7683453237410072,resnet34,16,0.875,0.061,256,l3,1024,8,True,max,strong,0.455,0.78
0.7957317073170732,resnet34,16,0.875,0.067,256,l3,1024,8,True,max,strong,0.41,0.79
0.7712230215827338,resnet34,16,0.875,0.067,256,l3,1024,8,True,max,strong,0.455,0.79
0.7957317073170732,resnet34,16,0.875,0.069,256,l3,1024,8,True,max,strong,0.41,0.79
0.7993779160186625,resnet34,16,0.875,0.067,256,l3,1024,5,True,max,strong,0.395,0.81
0.7987804878048781,resnet34,16,0.875,0.069,256,l3,1024,5,True,max,strong,0.41,0.72
0.8149300155520995,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.395,0.81
0.8079268292682927,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.41,0.72
0.8048780487804879,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.315,0.72
0.7926829268292683,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.41,0.72
0.8087091757387247,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.395,0.71
0.8211508553654744,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.395,0.81
0.7869362363919129,resnet34,16,0.875,0.071,256,l3,1024,4,True,max,strong,0.395,0.72
0.80248833592535,resnet34,16,0.875,0.071,256,l3,1024,4,True,max,strong,0.395,0.71
0.7993779160186625,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.395,0.72
0.8149300155520995,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.395,0.72
0.7926829268292683,resnet34,16,0.875,0.071,256,l3,1024,4,True,max,strong,0.41,0.71
0.8149300155520995,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.395,0.71
0.8055987558320373,resnet34,16,0.875,0.069,256,l3,1024,4,True,max,strong,0.395,0.71
0.8149300155520995,resnet34,16,0.875,0.069,256,l3,1024,5,True,max,strong,0.395,0.81
0.7900466562986003,resnet34,16,0.875,0.069,256,l3,1024,5,True,max,strong,0.395,0.83
0.8242612752721618,resnet34,16,0.875,0.065,256,l3,1024,3,True,max,strong,0.395,0.81
0.8087091757387247,resnet34,16,0.875,0.073,256,l3,1024,3,True,max,strong,0.395,0.81
0.80248833592535,resnet34,16,0.875,0.075,256,l3,1024,3,True,max,strong,0.395,0.81
0.7620889748549323,resnet34,16,0.875,0.075,256,l3,1024,3,True,max,strong,0.25,0.81
0.7962674961119751,resnet34,16,0.875,0.065,256,l3,1024,2,True,max,strong,0.395,0.84
0.8149300155520995,resnet34,16,0.875,0.077,256,l3,1024,3,True,max,strong,0.395,0.86
0.7993779160186625,resnet34,16,0.875,0.077,256,l3,1024,3,True,max,strong,0.395,0.86
0.8087091757387247,resnet34,16,0.875,0.073,256,l3,1024,4,True,max,strong,0.395,0.82
0.8013937282229965,resnet34,16,0.875,0.073,256,l3,1024,2,True,max,strong,0.315,0.82
0.8153310104529616,resnet34,16,0.875,0.073,256,l3,1024,2,True,max,strong,0.315,0.88
0.8087091757387247,resnet34,16,0.875,0.079,256,l3,1024,3,True,max,strong,0.395,0.88
0.818815331010453,resnet34,16,0.875,0.077,256,l3,1024,4,True,max,strong,0.315,0.85
0.8292682926829268,resnet34,16,0.875,0.077,256,l3,1024,2,True,max,strong,0.315,0.88
0.40105540897097625,resnet34,16,0.875,0.077,256,l3,1024,2,True,max,strong,0.09,0.88
0.7862068965517242,resnet34,16,0.875,0.073,256,l3,1024,1,True,max,strong,0.49,0.9
0.7662082514734774,resnet34,16,0.875,0.083,256,l3,1024,3,True,max,strong,0.24,0.87
0.7104722792607803,resnet34,16,0.875,0.077,256,l3,1024,3,True,max,strong,0.215,0.83
0.17522658610271905,resnet34,16,0.875,0.079,256,l3,1024,4,True,max,strong,0.035,0.84
0.45408163265306123,resnet34,16,0.875,0.079,256,l3,1024,5,True,max,strong,0.105,0.9
0.7524366471734892,resnet34,16,0.875,0.065,256,l3,1024,3,True,max,strong,0.245,0.85
0.794425087108014,resnet34,16,0.875,0.073,256,l3,1024,2,True,max,strong,0.315,0.86
0.782246879334258,resnet34,16,0.875,0.071,256,l3,1024,4,True,max,strong,0.485,0.89
0.8118466898954704,resnet34,16,0.875,0.075,256,l3,1024,6,True,max,strong,0.315,0.85
0.568075117370892,resnet34,16,0.875,0.075,256,l3,1024,6,True,max,strong,0.145,0.84
